=== ESTRUCTURA COMPLETA DE BASE DE DATOS ===

-- TABLAS Y SUS COLUMNAS
TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
aprendizaje_palabras                                                                                                             idpalabra                                                                                                                        int                                                                                                                                                  NULL NO         
aprendizaje_palabras                                                                                                             palabra                                                                                                                          varchar                                                                                                                                               100 NO         
aprendizaje_palabras                                                                                                             idcategoria                                                                                                                      int                                                                                                                                                  NULL NO         
aprendizaje_palabras                                                                                                             id_impuesto                                                                                                                      int                                                                                                                                                  NULL NO         
aprendizaje_palabras                                                                                                             veces_usada                                                                                                                      int                                                                                                                                                  NULL YES        
aprendizaje_palabras                                                                                                             veces_acertada                                                                                                                   int                                                                                                                                                  NULL YES        
aprendizaje_palabras                                                                                                             primera_vez                                                                                                                      datetime                                                                                                                                             NULL YES        
aprendizaje_palabras                                                                                                             ultima_vez                                                                                                                       datetime                                                                                                                                             NULL YES        
aprendizaje_palabras                                                                                                             activa                                                                                                                           bit                                                                                                                                                  NULL YES        
aprendizaje_palabras                                                                                                             peso                                                                                                                             decimal                                                                                                                                              NULL YES        
articulo                                                                                                                         idarticulo                                                                                                                       int                                                                                                                                                  NULL NO         
articulo                                                                                                                         codigo                                                                                                                           varchar                                                                                                                                                50 NO         
articulo                                                                                                                         nombre                                                                                                                           varchar                                                                                                                                               100 NO         
articulo                                                                                                                         imagen                                                                                                                           image                                                                                                                                          2147483647 YES        
articulo                                                                                                                         idcategoria                                                                                                                      int                                                                                                                                                  NULL NO         
articulo                                                                                                                         descripcion                                                                                                                      varchar                                                                                                                                               256 YES        
articulo                                                                                                                         idpresentacion                                                                                                                   int                                                                                                                                                  NULL NO         
articulo                                                                                                                         codigo_barras                                                                                                                    varchar                                                                                                                                                13 YES        
articulo                                                                                                                         plu                                                                                                                              varchar                                                                                                                                                 4 YES        
articulo                                                                                                                         id_impuesto                                                                                                                      int                                                                                                                                                  NULL YES        
articulo                                                                                                                         tipo_medida                                                                                                                      varchar                                                                                                                                                10 YES        
articulo                                                                                                                         precio_por_kilo                                                                                                                  decimal                                                                                                                                              NULL YES        
articulo                                                                                                                         es_pesado                                                                                                                        bit                                                                                                                                                  NULL YES        
articulo                                                                                                                         precio_venta                                                                                                                     decimal                                                                                                                                              NULL YES        
articulo                                                                                                                         precio_referencia                                                                                                                decimal                                                                                                                                              NULL YES        
articulo                                                                                                                         stock_minimo                                                                                                                     int                                                                                                                                                  NULL YES        
articulo                                                                                                                         codigo_barras_original                                                                                                           varchar                                                                                                                                                20 YES        
articulo                                                                                                                         marca_moto                                                                                                                       varchar                                                                                                                                                50 YES        
articulo                                                                                                                         modelo_moto                                                                                                                      varchar                                                                                                                                                50 YES        
articulo                                                                                                                         año_desde                                                                                                                        int                                                                                                                                                  NULL YES        
articulo                                                                                                                         año_hasta                                                                                                                        int                                                                                                                                                  NULL YES        
articulo                                                                                                                         cilindrada                                                                                                                       varchar                                                                                                                                                20 YES        
articulo_temp                                                                                                                    nuevo_id                                                                                                                         bigint                                                                                                                                               NULL YES        
articulo_temp                                                                                                                    codigo                                                                                                                           varchar                                                                                                                                                50 NO         
articulo_temp                                                                                                                    nombre                                                                                                                           varchar                                                                                                                                               100 NO         
articulo_temp                                                                                                                    idcategoria                                                                                                                      int                                                                                                                                                  NULL NO         
articulo_temp                                                                                                                    precio_venta                                                                                                                     decimal                                                                                                                                              NULL YES        
articulo_temp                                                                                                                    stock_minimo                                                                                                                     int                                                                                                                                                  NULL YES        
categoria                                                                                                                        idcategoria                                                                                                                      int                                                                                                                                                  NULL NO         
